"USERNAME","DATE","TIME"
"kwog@hydro.mb.ca","2022-10-26","2022-10-26 11:03:54"
"kwog@hydro.mb.ca","2022-10-26","2022-10-26 11:14:19"
"kwog@hydro.mb.ca","2022-10-26","2022-10-26 11:15:46"
"kwog@hydro.mb.ca","2022-10-26","2022-10-26 11:18:17"
"kwog@hydro.mb.ca","2022-10-26","11:21:28"
"kwog@hydro.mb.ca","2022-10-26","11:21:51"
"kwog@hydro.mb.ca","2022-10-26","11:21:52"
"kwog@hydro.mb.ca","2022-10-26","11:21:52"
"kwog@hydro.mb.ca","2022-10-26","11:21:52"
"kwog@hydro.mb.ca","2022-10-26","11:22:06"
"kwog@hydro.mb.ca","2022-10-26","11:28:44"
"username_10","2022-10-26","11:29:01"
"kwog@hydro.mb.ca","2022-10-26","11:52:09"
"kwog@hydro.mb.ca","2022-10-26","11:53:48"
"kwog@hydro.mb.ca","2022-10-26","12:39:41"
"kwog@hydro.mb.ca","2022-10-26","12:42:58"
"kwog@hydro.mb.ca","2022-10-26","12:44:28"
"kwog@hydro.mb.ca","2022-10-26","12:47:37"
"kwog@hydro.mb.ca","2022-10-26","12:48:45"
"kwog@hydro.mb.ca","2022-10-26","12:56:52"
"kwog@hydro.mb.ca","2022-10-26","14:29:08"
"kwog@hydro.mb.ca","2022-10-26","14:31:36"
"kwog@hydro.mb.ca","2022-10-26","14:33:06"
"kwog@hydro.mb.ca","2022-10-26","14:34:32"
"kwog@hydro.mb.ca","2022-10-26","14:36:25"
"kwog@hydro.mb.ca","2022-10-26","14:38:08"
"kwog@hydro.mb.ca","2022-10-26","14:39:32"
"kwog@hydro.mb.ca","2022-10-26","14:44:05"
"kwog@hydro.mb.ca","2022-10-26","14:50:47"
"kwog@hydro.mb.ca","2022-10-26","14:51:29"
"kwog@hydro.mb.ca","2022-10-26","14:53:58"
"kwog@hydro.mb.ca","2022-10-26","15:02:44"
"kwog@hydro.mb.ca","2022-10-26","15:03:04"
"kwog@hydro.mb.ca","2022-10-26","15:04:06"
"kwog@hydro.mb.ca","2022-10-26","15:04:41"
"kwog@hydro.mb.ca","2022-10-26","15:16:35"
"kwog@hydro.mb.ca","2022-10-27","11:35:27"
"kwog@hydro.mb.ca","2022-10-27","11:42:00"
"kwog@hydro.mb.ca","2022-10-27","11:43:15"
"kwog@hydro.mb.ca","2022-10-27","11:44:02"
"bobby_bobby","2022-10-27","11:45:08"
"kwog@hydro.mb.ca","2022-10-27","11:51:25"
"kwog@hydro.mb.ca","2022-10-27","11:54:42"
"kwog@hydro.mb.ca","2022-10-27","11:54:45"
"kwog@hydro.mb.ca","2022-10-27","11:54:49"
"kwog@hydro.mb.ca","2022-10-27","12:27:41"
"kwog@hydro.mb.ca","2022-10-27","12:29:59"
"kwog@hydro.mb.ca","2022-10-27","13:41:53"
"bippofatty123","2022-10-27","15:13:19"
"username_12","2022-10-27","15:15:08"
"kwog@hydro.mb.ca","2022-10-27","16:41:29"
"username_13","2022-10-27","16:44:51"
"kwog@hydro.mb.ca","2022-10-27","16:46:27"
"kwog@hydro.mb.ca","2022-10-27","16:50:26"
"kwog@hydro.mb.ca","2022-10-28","07:38:28"
"kwog@hydro.mb.ca","2022-10-28","07:42:25"
"kwog@hydro.mb.ca","2022-10-28","07:43:16"
"kwog@hydro.mb.ca","2022-10-28","07:44:34"
