"LAST_NAME","FIRST_NAME","MIDDLE_INITIAL","EMAIL","PHONE","FIRST_NATION_COMMUNITY","CITY_TOWN_RESIDENCE","CURRENT_ADDRESS","HOME_ADDRESS","HIGHEST_EDUCATION","APPRENTICESHIP_TRADE_LEVEL","JOB_INTERESTS","ENGAGEMENT_EVENT_ATTENDED","PROJECT_INTERESTS","PREVIOUS_MH_PROJECT_EXPERIENCE","PREVIOUS_PROJECT_EXPERIENCE_DETAILS","JOB_WORKSHOP","NOTES","WORK_AVAILABILITY","CERTIFICATES","RESUME_PATH","DISABILITY","DISABILITY_DETAILS","CLASS_5","CONFINED","AIR_BRAKE","OPERATE_SEASONAL_VEHICLE","CPR","TRAVEL","TRAVEL_AIRPLANE_BOAT","SAFETY","CONSTRUCTION","OUTDOOR_HOT","OUTDOOR_COLD","HEIGHTS","HEAVY_LIFTING","ROAD_CONSTRUCTION","HEAVY_EQUIPTMENT","CONCRETE","POWER_TOOL","DETAIL","AVAILABLE_TO_WORK_DATE","PRESSURE","INDEPENDENT","FORESTRY","ID","INSTANCE","MAX","DATE","TIME","USER"
"Wog","Kyle","s","elyk.gow@gmail.com","","Tetaskweak Cree Nation","Winnipeg","6 wingate court","","Some Highschool",0,"Power Line Tech,Forestry,Equipment inspections,Transmission Line Construction","yes","Transmission Line Construction,Forestry","yes","working from 360","yes","no notes","yes",NA,"","NO","","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","240","1",1,"2022-11-29","9:06:50","kwog@hydro.mb.ca"
"Smith","Simon","s","simonsmith@gmail.com","(204) 542 8577","Fox Lake Cree Nation","Winnipeg","10 something court","10 something court","Some Highschool",0,"Forestry,Transmission Line Construction","NO","Forestry,Station Construction,Transmission Line Construction,Generation construction","yes","","yes","","yes",NA,"","NO","","yes","yes","yes","yes","NO","yes","yes","NO","NO","yes","NO","NO","yes","NO","yes","NO","NO","NO","NO","yes","NO","NO","241","1",1,"2022-11-29","14:14:40","kwog@hydro.mb.ca"
"","aweujdhuiawshduiawshudiawshdiawshd","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","243","2",2,"2022-11-29","8:37:44","kwog@hydro.mb.ca"
"","test server for saving","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","244","1",1,"2022-11-29","11:02:58","kwog@hydro.mb.ca"
"Wog","Kyle ","s","kwog@hydro.mb.ca","(204)-612-0611","Fox Lake Cree Nation","Winnipeg","360 Portage","360 Portage","Some Highschool",3,"General Construction,Generation Construction,Transmission Line Construction,Forestry","NO","Station Construction,Generation construction","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","246","1",1,"2022-11-29","11:27:26","kwog@hydro.mb.ca"
"","this should be removed","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","247","1",1,"2022-11-29","7:58:09","kwog@hydro.mb.ca"
"test","update ","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","248","1",1,"2022-11-29","10:27:09","kwog@hydro.mb.ca"
"last name","test user for resume","middle","wwlkdawoijdoo@gmail.com","","Fox Lake Cree Nation","","","","Some Highschool",0,"Forestry,General Construction,Field Monitoring,Equipment inspections","NO","Forestry,Generation construction","NO","","NO","","NO",NA,"Resume/id_249.pdf","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","249","3",3,"2022-11-29","13:47:06","jimmy123"
"Smith","Sam","","","","York Factory First Nation","","","","Some Highschool",0,"Forestry,Generation Construction","NO","Station Construction,Generation construction","NO","","NO","","NO",NA,"","NO","","yes","yes","Willing to complete","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","242","3",3,"2022-11-29","15:16:39","kjogow527"
"","","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","Working Toward","Working Toward","Working Toward","Unsure","NO","NO","NO","NO","Less then 3+ years","For extended periods of time","NO","Somewhat comfortable","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","250","1",1,"2022-11-29","15:31:38","kjogow527"
"","","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","251","1",1,"2022-11-29","15:44:32","kjogow527"
"","test to delete","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",NA,"","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","252","1",1,"2022-11-29","15:48:21","kwog@hydro.mb.ca"
"Wog","Kyle","","elyk.gow@gmail.com","2046129611","Fox Lake Cree Nation","winnipeg","12121","6 wingate court","Some Highschool",0,"Field Monitoring,Equipment inspections,Generation Construction","NO","Station Construction,Forestry,Generation construction","NO","","NO","","NO",NA,"","NO","","yes","Working Toward","Working Toward","yes","yes","NO","NO","Some","Under 2 Years","NO","Less then full time","Somewhat comfortable","NO","NO","Willing to learn","Willing to learn","yes","picks up on some details","NO","NO","prefer working with others","Willing to learn","253","2",2,"2022-11-29","19:26:39","jimmy123"
"","","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",", Education_Certificates/6_list - Sheet1.csv","","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","255","1",1,"2023-01-13","08:54:09","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","256","2",2,"2023-01-13","09:25:03","kwog@hydro.mb.ca"
"","certificate test","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","254","2",2,"2023-01-13","09:29:38","kwog@hydro.mb.ca"
"","","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO","no certificates to upload","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","257","2",2,"2023-01-13","09:30:03","kwog@hydro.mb.ca"
"","use_1","","","","Fox Lake Cree Nation","","","","Some Highschool",0,"","NO","","NO","","NO","","NO",", Education_Certificates/19_Employmentdatabase (6).csv, Education_Certificates/20_","","NO","","NO","NO","NO","yes","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","259","2",2,"2023-01-13","09:52:07","kwog@hydro.mb.ca"
